MSN,Description,Unit,is
PCTCD,"petroleum coke average price, all sectors.",Dollars per million Btu,1
PCTCP,petroleum coke total consumption.,Thousand barrels,1
PCTCV,petroleum coke total expenditures.,Million dollars,1
PEACD,primary energy average price in the transportation sector.,Dollars per million Btu,1
PEACV,primary energy total expenditures in the transportation sector.,Million dollars,1
PECCD,primary energy average price in the commercial sector.,Dollars per million Btu,1
PECCV,primary energy total expenditures in the commercial sector.,Million dollars,1
PEEID,primary energy average price in the electric power sector.,Dollars per million Btu,1
PEEIV,primary energy total expenditures in the electric power sector.,Million dollars,1
PEICD,primary energy average price in the industrial sector.,Dollars per million Btu,1
PEICV,primary energy total expenditures in the industrial sector.,Million dollars,1
PERCD,primary energy average price in the residential sector.,Dollars per million Btu,1
PERCV,primary energy total expenditures in the residential sector.,Million dollars,1
PETCD,"primary energy average price, all sectors.",Dollars per million Btu,1
PETCV,primary energy total expenditures.,Million dollars,1
PETXD,"primary energy average price, all end-use sectors.",Dollars per million Btu,1
PETXV,primary energy total end-use expenditures.,Million dollars,1
PMTCB,all petroleum products total consumption excluding fuel ethanol.,Billion Btu,1
PPICB,pentanes plus consumed by the industrial sector.,Billion Btu,1
PPICP,pentanes plus consumed by the industrial sector.,Thousand barrels,1
RFACB,residual fuel oil consumed by the transportation sector.,Billion Btu,1
RFACD,residual fuel oil price in the transportation sector.,Dollars per million Btu,1
RFACP,residual fuel oil consumed by the transportation sector.,Thousand barrels,1
RFACV,residual fuel oil expenditures in the transportation sector.,Million dollars,1
RFCCB,residual fuel oil consumed by the commercial sector.,Billion Btu,1
RFCCD,residual fuel oil price in the commercial sector.,Dollars per million Btu,1
RFCCP,residual fuel oil consumed by the commercial sector.,Thousand barrels,1
RFCCV,residual fuel oil expenditures in the commercial sector.,Million dollars,1
RFEIB,residual fuel oil consumed by the electric power sector.,Billion Btu,1
RFEID,residual fuel oil price in the electric power sector.,Dollars per million Btu,1
RFEIP,residual fuel oil consumed by the electric power sector.,Thousand barrels,1
RFEIV,residual fuel oil expenditures in the electric power sector.,Million dollars,1
RFICB,residual fuel oil consumed by the industrial sector.,Billion Btu,1
RFICD,residual fuel oil price in the industrial sector.,Dollars per million Btu,1
RFICP,residual fuel oil consumed by the industrial sector,Thousand barrels,1
RFICV,residual fuel oil expenditures in the industrial sector.,Million dollars,1
RFISB,residual fuel oil consumed by the industrial sector excluding refinery fuel.,Billion Btu,1
RFRFB,residual fuel oil consumed as refinery fuel.,Billion Btu,1
RFTCB,residual fuel oil total consumption.,Billion Btu,1
RFTCD,"residual fuel oil average price, all sectors.",Dollars per million Btu,1
RFTCP,residual fuel oil total consumption.,Thousand barrels,1
RFTCV,residual fuel oil total expenditures.,Million dollars,1
RFTXB,residual fuel oil total end-use consumption.,Billion Btu,1
RFTXD,"residual fuel oil average price, all end-use sectors.",Dollars per million Btu,1
RFTXP,residual fuel oil total end-use consumption.,Thousand barrels,1
RFTXV,residual fuel oil total end-use expenditures.,Million dollars,1
ROPRB,"renewable energy production, other than fuel ethanol.",Billion Btu,1
SFCCB,supplemental gaseous fuels consumed by the commercial sector.,Billion Btu,1
SFEIB,supplemental gaseous fuels consumed by the electric power sector.,Billion Btu,1
SFINB,supplemental gaseous fuels consumed by the industrial sector.,Billion Btu,1
SFRCB,supplemental gaseous fuels consumed by the residential sector.,Billion Btu,1
SFTCB,supplemental gaseous fuels total consumption.,Billion Btu,1
SGICB,still gas consumed by the industrial sector.,Billion Btu,1
SGICP,still gas consumed by the industrial sector.,Thousand barrels,1
SOEGB,electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Billion Btu,1
SOEGP,electricity produced from photovoltaic and solar thermal energy by the electric power sector.,Million kilowatthours,1
TERFB,total energy used as refinery fuel.,Billion Btu,1
TNSCB,total primary energy and electricity consumed.,Billion Btu,1
TNTXB,total primary energy and electricity consumed by the end-use sectors.,Billion Btu,1
UOICB,unfinished oils consumed by the industrial sector.,Billion Btu,1
UOICP,unfinished oils consumed by the industrial sector.,Thousand barrels,1
USICB,unfractionated stream consumed by the industrial sector.,Billion Btu,1
USICP,unfractionated stream consumed by the industrial sector.,Thousand barrels,1
WDCCB,wood consumed by the commercial sector,Billion Btu,1
WDEIB,wood and waste consumed by the electric power sector.,Billion Btu,1
WDICB,wood consumed by the industrial sector.,Billion Btu,1
WDRCB,wood consumed by the residential sector.,Billion Btu,1
WDRCD,wood price in the residential sector.,Dollars per million Btu,1
WDRCP,wood consumed by the residential sector.,Thousand cords,1
WDRCV,wood expenditures in the residential sector. ,Million dollars,1
WDRSB,wood consumed in the residential sector at a cost.,Billion Btu,1
WDRXB,wood consumed in the residential sector at no cost.,Billion Btu,1
WWCCB,wood and waste consumed by the commercial sector.,Billion Btu,1
WWCCD,wood and waste price in the commercial sector.,Dollars per million Btu,1
WWCCV,wood and waste expenditures in the commercial sector.,Million dollars,1
WWCSB,wood and waste consumed in the commercial sector at a cost.,Billion Btu,1
WWCXB,wood and waste consumed in the commercial sector at no cost.,Billion Btu,1
WWEIB,wood and waste consumed by the electric power sector.,Billion Btu,1
WWEID,wood and waste price in the electric power sector.,Dollars per million Btu,1
WWEIV,wood and waste expenditures in the electric power sector.,Million dollars,1
WWICB,wood and waste consumed by the industrial sector.,Billion Btu,1
WWICD,wood and waste price in the industrial sector.,Dollars per million Btu,1
WWICV,wood and waste expenditures in the industrial sector.,Million dollars,1
WWISB,wood and waste consumed in the industrial sector at a cost.,Billion Btu,1
WWIXB,wood and waste consumed in the industrial sector at no cost.,Billion Btu,1
WWTCB,wood and waste total consumption.,Billion Btu,1
WWTCD,"wood and waste average price, all sectors.",Dollars per million Btu,1
WWTCV,wood and waste total expenditures.,Million dollars,1
WWTXB,wood and waste total end-use consumption.,Billion Btu,1
WWTXD,"wood and waste average price, all end-use sectors.",Dollars per million Btu,1
WWTXV,wood and waste total end-use expenditures.,Million dollars,1
WXICB,waxes consumed by the industrial sector.,Billion Btu,1
WXICD,waxes price in the industrial sector.,Dollars per million Btu,1
WXICP,waxes consumed by the industrial sector.,Thousand barrels,1
WXICV,waxes expenditures in the industrial sector.,Million dollars,1
WYEGB,electricity produced from wind energy by the electric power sector.,Billion Btu,1
WYEGP,electricity produced from wind energy by the electric power sector.,Million kilowatthours,1
WYTCB,electricity produced from wind energy.,Billion Btu,1
